perceelnr;Geomorfologie;Geom_code;Bodem profiel;Bo_code;GWT;Landgebruik;deelgebied;Hellingperc;helling_deg;L_parcel;Buisdr;Sloot_Greppel;max_L_tot_sloot;Boring_ID;D_aquifer;kD_aquifer;s_aquifer;c_aquitard;spreidingslengte;Perc_spreiding;perc_Spr_cor
178;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;Bebouwing;19;0;0;72;0;Greppel;36;B35A0311;1.55;3.03;;1075;63.3;176;100
179;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;grasland overig;19;-0.2;0.114591406;139;0;Greppel;42;B35A0311;1.55;1.155;;1075;43;102;102
180;Beekdalbodem;22R42L;Veldpodzolgronden;Hn21;III;grasland agrarisch;19;0;0;126;0;Sloot;38;B35A0311;1.55;3.27;;1075;63.3;166;100
181;Grondmorenewelvingen;3L11H;Beekeerdgronden;pZg23;III;grasland agrarisch;19;0;0;112;0;Sloot;63;B35A0309;2.25;0.72;;1075;50.4;80;80
182;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;grasland agrarisch;19;-0.6;0.343770552;193;0;Greppel;40;B35A0306;3.9;3.2;;1075;201.8;504;100
183;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;grasland agrarisch;31;-0.2;0.114591406;151;0;Sloot;76;B35A0306;3.9;4.8;;1075;201.8;265;100
184;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;Bebouwing;31;0.1;0.05729576;71;0;Greppel;33;B35A0306;3.9;3.2;;1075;201.8;611;100
185;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;grasland agrarisch;31;-0.1;0.05729576;276;0;Sloot;25;B35A0306;3.9;4.8;;1075;201.8;807;100
186;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;Bebouwing;31;-0.1;0.05729576;79;0;Greppel;29;B35A0306;3.9;3.2;;1075;201.8;696;100
187;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;transitie;31;0;0;35;0;Greppel;33;B35A0306;3.9;3.2;;1075;201.8;611;100
188;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;grasland agrarisch;31;-0.1;0.05729576;291;0;Greppel;54;B35A0306;3.9;3.2;;1075;201.8;374;100
189;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;bouwland;21;0;0;375;0;Greppel;109;B35A0274;3.9;1.2;;1075;151.8;139;100
190;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;21;-0.1;0.05729576;66;0;Greppel;53;B35A0306;3.9;3.2;;1075;201.8;381;100
191;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;21;0;0;42;0;Greppel;55;B35A0274;3.9;1.2;;1075;151.8;276;100
192;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;grasland agrarisch;21;-0.2;0.114591406;89;0;Greppel;40;B35A0274;3.9;1.2;;1075;151.8;379;100
193;Grondmorenewelvingen;3L11H;Beekeerdgronden;pZg23;III;bouwland;19;-0.3;0.171886823;169;1;Sloot;100;B35A0309;2.25;0.72;;1075;50.4;50;50
194;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;19;-0.1;0.05729576;97;0;Sloot;34;B35A0274;3.9;1.8;;1075;151.8;446;100
195;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;grasland overig;19;0.2;0.114591406;101;1;Sloot;49;B35A0274;3.9;1.8;;1075;151.8;310;100
196;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;Bebouwing;19;0.3;0.171886823;79;1;Sloot;19;B35A0309;2.25;0.72;;1075;50.4;265;100
197;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;grasland overig;19;-0.4;0.229181896;56;1;Sloot;102;B35A0309;2.25;0.72;;1075;50.4;49;49
198;Beekdalbodem;22R42L;Beekeerdgronden;pZg23;III;Bebouwing;19;-0.3;0.171886823;77;1;Sloot;34;B35A0309;2.25;0.72;;1075;50.4;148;100
199;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;bouwland;21;-0.1;0.05729576;213;0;Sloot;48;B35A0129;3.5;0.72;;1075;49.1;102;102
200;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;grasland agrarisch;21;0;0;134;0;Sloot;48;B35A0129;3.5;0.72;;1075;49.1;102;102
201;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;Bebouwing;21;-0.2;0.114591406;77;0;Sloot;49;B35A0129;3.5;0.72;;1075;49.1;100;100
202;Dalvormige laagte;22R23;Beekeerdgronden;pZg23;III;grasland agrarisch;13;-0.3;0.171886823;177;0;Sloot;52;B35A1005;1.8;0.55;;1075;40.8;79;79
203;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;grasland agrarisch;13;0;0;361;0;Sloot;75;B35A0129;3.5;0.72;;1075;49.1;66;66
204;Grondmorenewelvingen;3L11H;Beekeerdgronden;pZg23x;III;grasland agrarisch;13;-0.3;0.171886823;312;0;Sloot;86;B35A1004;1.8;0.925;;1075;45.8;53;53
205;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;13;-0.3;0.171886823;115;0;Greppel;45;B35A0297;1.2;1.2;;1075;45.5;101;101
206;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;loofbos;21;-0.1;0.05729576;154;0;Greppel;43;B35A0129;3.5;0.48;;1075;49.1;114;100
207;Dalvormige laagte;22R23;Veldpodzolgronden;Hn21;V;grasland overig;21;-0.3;0.171886823;56;0;Greppel;72;B35A0129;3.5;0.48;;1075;49.1;68;68
208;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;21;-0.3;0.171886823;55;0;Greppel;51;B35A0129;3.5;0.48;;1075;49.1;96;96
209;Dalvormige laagte;22R23;Veldpodzolgronden;Hn21;V;grasland agrarisch;18;-0.3;0.171886823;403;0;Sloot;94;B35A0129;3.5;0.72;;1075;49.1;52;52
210;Grondmorenewelvingen;3L11H;Gooreerdgronden;pZn23x;III;grasland agrarisch;18;-0.3;0.171886823;385;0;Sloot;59;B35A0303;2.4;0.72;;1075;40.7;69;69
211;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;37;0.1;0.05729576;268;0;Sloot;89;B35A0304;2.7;1.8;;1075;68.2;77;77
212;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;grasland overig;37;-0.3;0.171886823;100;0;Sloot;26;B35A0304;2.7;1.8;;1075;68.2;262;100
213;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;bouwland;37;-0.3;0.171886823;265;1;Greppel;107;B35A0304;2.7;1.2;;1075;68.2;64;64
214;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;V;Bebouwing;18;-0.5;0.28647651;105;0;Greppel;25;B35A0303;2.4;1.2;;1075;64.3;257;100
215;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;bouwland;18;0.5;0.28647651;99;0;Greppel;42;B35A0303;2.4;1.2;;1075;64.3;153;100
216;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;grasland agrarisch;18;0;0;216;1;Greppel;75;B35A0303;2.4;1.2;;1075;64.3;86;86
217;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21;III;heide;18;-0.4;0.229181896;374;0;Greppel;213;B35A0296;2.9;3.2;;1075;157.2;74;74
218;Grondmorenewelvingen;3L11H;Gooreerdgronden;pZn23x;III;grasland agrarisch;18;0.1;0.05729576;116;0;Sloot;54;B35A0293;2;1.8;;1075;58.7;109;100
219;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21x;V;grasland agrarisch;18;-0.1;0.05729576;57;0;Sloot;54;B35A0293;2;4.8;;1075;95.9;178;100
220;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21x;V;bouwland;18;-0.1;0.05729576;159;0;Sloot;54;B35A0293;2;4.8;;1075;95.9;178;100
221;Dalvormige laagte;22R23;Gooreerdgronden;pZn23x;III;grasland agrarisch;18;-0.2;0.114591406;193;1;Sloot;50;B35A0293;2;1.8;;1075;58.7;117;100
222;Grondmorenewelvingen;3L11H;Gooreerdgronden;pZn23x;III;grasland overig;18;-0.3;0.171886823;211;0;Greppel;56;B35A0293;2;1.2;;1075;58.7;105;100
223;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21x;V;heide;18;-1;0.572938698;202;0;Greppel;131;B35A0298;0.5;0.75;;1075;29.4;22;22
224;Grondmorenewelvingen;3L11H;Veldpodzolgronden;Hn21x;V;loofbos;18;-1;0.572938698;190;0;Greppel;76;B35A0297;1.2;1.2;;1075;45.5;60;60
